DCODE,NAME,AREA,WKT,AUTHORITY,ELLIPSOID,DELTAX,SIGMAX,DELTAY,SIGMAY,DELTAZ,SIGMAZ,NORTH,SOUTH,WEST,EAST,ROTX,ROTY,ROTZ,SCALE,SOURCE,DESCRIPTION
DARF-A,Arc 1950, Botswana,,,clrk80,-138,3,-105,5,-289,3,-33,-13,13,36,0,0,0,0,default,
DARF-B,Arc 1950, Lesotho,,,clrk80,-125,3,-108,3,-295,8,-36,-23,21,35,0,0,0,0,default,
DARF-C,Arc 1950, Malawi,,,clrk80,-161,9,-73,24,-317,8,-21,-3,26,42,0,0,0,0,default,
DARF-D,Arc 1950, Swaziland,,,clrk80,-134,15,-105,15,-295,15,-33,-20,25,40,0,0,0,0,default,
DARF-E,Arc 1950, Zaire,,,clrk80,-169,25,-19,25,-278,25,-21,10,4,38,0,0,0,0,default,
DARF-F,Arc 1950, Zambia,,,clrk80,-147,21,-74,21,-283,27,-24,-1,15,40,0,0,0,0,default,
DARF-G,Arc 1950, Zimbabwe,,,clrk80,-142,5,-96,8,-293,11,-29,-9,19,39,0,0,0,0,default,
DARF-H,Arc 1950, Burundi,,,clrk80,-153,20,-5,20,-292,20,-11,4,21,37,0,0,0,0,default,
DARS-M,Arc 1960, Kenya & Tanzania,,,clrk80,-160,20,-6,20,-302,20,-18,8,23,47,0,0,0,0,default,
DARS-A,Arc 1960, Kenya,,,clrk80,-157,4,-2,3,-299,3,-11,8,28,47,0,0,0,0,default,
DARS-B,Arc 1960, Tanzania,,,clrk80,-175,6,-23,9,-303,10,-18,5,23,47,0,0,0,0,default,
DASC,Ascension island 1958,,,,intl,-205,25,107,25,53,25,-9,-6,-16,-13,0,0,0,0,default,
DASM,Montserrat island astro 1958,,,,clrk80,174,25,359,25,365,25,15,18,-64,-61,0,0,0,0,default,
DASQ,Astro station 1952, Marcus Island,,,intl,124,25,-234,25,-25,25,22,26,152,156,0,0,0,0,default,
DATF,Astro beacon 1945, Iwo Jima,,,intl,145,25,75,25,-272,25,22,26,140,144,0,0,0,0,default,
DAUA,Australian geodetic 1966,,,,aust_SA,-133,3,-48,3,148,3,-46,-4,109,161,0,0,0,0,default,
DAUG,Australian geodetic 1984,,,,aust_SA,-134,2,-48,2,149,2,-46,-4,109,161,0,0,0,0,default,
DBAT,Djakarta, INDONESIA,,,bessel,-377,3,681,3,-50,3,-16,11,89,146,0,0,0,0,default,
DBID,Bissau, Guinea-Bissau,,,intl,-173,25,253,25,27,25,5,19,-23,-7,0,0,0,0,default,
DBER,Bermuda 1957, Bermuda Islands,,,clrk66,-73,20,213,20,296,20,31,34,-66,-63,0,0,0,0,default,
DBOO,Bogota observatory, Colombia,,,intl,307,6,304,5,-318,6,-10,16,-85,-61,0,0,0,0,default,
DBUR,Bukit rimpah, Banka & Belitung,,,bessel,-384,-1,664,-1,-48,-1,-6,0,103,110,0,0,0,0,default,
DCAC,Cape canaveral, Fla & Bahamas,,,clrk66,-2,3,151,3,181,3,15,38,-94,-58,0,0,0,0,default,
DCAI,Campo inchauspe 1969, Argentine,,,intl,-148,5,136,5,90,5,-62,-20,-76,-47,0,0,0,0,default,
DCAO,Canton astro 1966, Phoenix Is.,,,intl,298,15,-304,15,-375,15,-13,3,-180,-165,0,0,0,0,default,
DCAP,Cape, South Africa,,,clrk80,-136,3,-108,6,-292,6,-43,-15,10,40,0,0,0,0,default,
DCAZ,Camp area astro, Camp McMurdo,,,intl,-104,-1,-129,-1,239,-1,-85,-70,135,180,0,0,0,0,default,
DCCD,S-jtsk, Czech Republic,,,bessel,589,4,76,2,480,3,43,56,6,28,0,0,0,0,default,
DCGE,Carthage, Tunisia,,,clrk80,-263,6,6,9,431,8,24,43,2,18,0,0,0,0,default,
DCHI,Chatham island astro 1971, NZ,,,intl,175,15,-38,15,113,15,-46,-42,-180,-174,0,0,0,0,default,
DCHU,Chua astro, Paraguay,,,intl,-134,6,229,9,-29,5,-33,-14,-69,-49,0,0,0,0,default,
DCOA,Corrego alegre, Brazil,,,intl,-206,5,172,3,-6,5,-39,9,-80,-29,0,0,0,0,default,
DDAL,Dabola, Guinea,,,clrk80,-83,15,37,15,124,15,1,19,-18,-4,0,0,0,0,default,
DDID,Deception island,,,,clrk80,260,20,12,20,-147,20,-65,-62,-62,-58,0,0,0,0,default,
DDOB,Gux 1 astro, Guadalcanal Is.,,,intl,252,25,-209,25,-751,25,-12,-8,158,163,0,0,0,0,default,
DEAS,Easter island 1967,,,,intl,211,25,147,25,111,25,-29,-26,-111,-108,0,0,0,0,default,
DENW,Wake-eniwetok 1960,,,,hough,102,3,52,3,-38,3,1,16,159,175,0,0,0,0,default,
DEST,Estonia 1937,,,,bessel,374,2,150,3,588,3,52,65,16,34,0,0,0,0,default,
DEUR-M,European 1950, Mean (3 Param),,,intl,-87,3,-98,8,-121,5,30,80,5,33,0,0,0,0,default,
DEUR-A,European 1950, Western Europe,,,intl,-87,3,-96,3,-120,3,30,78,-15,25,0,0,0,0,default,
DEUR-B,European 1950, Greece,,,intl,-84,25,-95,25,-130,25,30,48,14,34,0,0,0,0,default,
DEUR-C,European 1950, Norway & Finland,,,intl,-87,3,-95,5,-120,3,52,80,-2,38,0,0,0,0,default,
DEUR-D,European 1950, Portugal & Spain,,,intl,-84,5,-107,6,-120,3,30,49,-15,10,0,0,0,0,default,
